Bulk_sequencing	Sc_sequencing
hTRAV01-1	TRAV1-1
hTRAV01-2	TRAV1-2
hTRAV02	TRAV2
hTRAV03	TRAV3
hTRAV04	TRAV4
hTRAV05	TRAV5
hTRAV06	TRAV6
hTRAV07	TRAV7
hTRAV08-1	TRAV8-1
hTRAV08-2	TRAV8-2
hTRAV08-3	TRAV8-3
hTRAV08-4	TRAV8-4
hTRAV08-5	TRAV8-5
hTRAV08-6	TRAV8-6
hTRAV08-7	TRAV8-7
hTRAV09-1	TRAV9-1
hTRAV09-2	TRAV9-2
hTRAV10	TRAV10
hTRAV11	TRAV11
hTRAV12-1	TRAV12-1
hTRAV12-2	TRAV12-2
hTRAV12-312-4	TRAV12-3
hTRAV13-1	TRAV13-1
hTRAV13-2	TRAV13-2
hTRAV14	TRAV14/DV4
hTRAV15	TRAV15
hTRAV16	TRAV16
hTRAV17	TRAV17
hTRAV18	TRAV18
hTRAV19	TRAV19
hTRAV20	TRAV20
hTRAV21	TRAV21
hTRAV22	TRAV22
hTRAV23	TRAV23/DV6
hTRAV24	TRAV24
hTRAV25	TRAV25
hTRAV26-1	TRAV26-1
hTRAV26-2	TRAV26-2
hTRAV27	TRAV27
hTRAV28	TRAV28
hTRAV29	TRAV29/DV5
hTRAV30	TRAV30
hTRAV31	TRAV31
hTRAV32	TRAV32
hTRAV33	TRAV33
hTRAV34	TRAV34
hTRAV35	TRAV35
hTRAV36	TRAV36/DV7
hTRAV37	TRAV37
hTRAV38-1	TRAV38-1
hTRAV38-2	TRAV38-2/DV8
hTRAV39	TRAV39
hTRAV40	TRAV40
hTRAV41	TRAV41
hTRAJ01	TRAJ1
hTRAJ02	TRAJ2
hTRAJ03	TRAJ3
hTRAJ04	TRAJ4
hTRAJ05	TRAJ5
hTRAJ06	TRAJ6
hTRAJ07	TRAJ7
hTRAJ08	TRAJ8
hTRAJ09	TRAJ9
hTRAJ10	TRAJ10
hTRAJ11	TRAJ11
hTRAJ12	TRAJ12
hTRAJ13	TRAJ13
hTRAJ14	TRAJ14
hTRAJ15	TRAJ15
hTRAJ16	TRAJ16
hTRAJ17	TRAJ17
hTRAJ18	TRAJ18
hTRAJ19	TRAJ19
hTRAJ20	TRAJ20
hTRAJ21	TRAJ21
hTRAJ22	TRAJ22
hTRAJ23	TRAJ23
hTRAJ24	TRAJ24
hTRAJ25	TRAJ25
hTRAJ26	TRAJ26
hTRAJ27	TRAJ27
hTRAJ28	TRAJ28
hTRAJ29	TRAJ29
hTRAJ30	TRAJ30
hTRAJ31	TRAJ31
hTRAJ32	TRAJ32
hTRAJ33	TRAJ33
hTRAJ34	TRAJ34
hTRAJ35	TRAJ35
hTRAJ36	TRAJ36
hTRAJ37	TRAJ37
hTRAJ38	TRAJ38
hTRAJ39	TRAJ39
hTRAJ40	TRAJ40
hTRAJ41	TRAJ41
hTRAJ42	TRAJ42
hTRAJ43	TRAJ43
hTRAJ44	TRAJ44
hTRAJ45	TRAJ45
hTRAJ46	TRAJ46
hTRAJ47	TRAJ47
hTRAJ48	TRAJ48
hTRAJ49	TRAJ49
